,id,type,actor_login,repo_name,created_at,action,issue_title,comment_body
39159,10354669720,IssueCommentEvent,hanks,pytorch/pytorch,2026-06-06T07:20:46Z,created,Fix INTERNAL ASSERT in torch.accelerator.empty_cache() on MPS,"@pytorchbot label ""topic: not user facing"""
41226,10357197005,IssueCommentEvent,ashish-rcloud1,SCALE-TEST-R-CLOUD/Repository-1-20260606030328,2026-06-06T10:50:58Z,created,Automated Issue #1667,"Comment by **Sai-Chiraggs** Added at 2026-05-22T04:14:57Z 

 I was able to reproduce this problem."
7396,10155611118,IssueCommentEvent,Drewtopia,Drewtopia/dotfiles,2026-06-02T00:28:07Z,created,"Give the work-Windows relocation layer a seam: relocation partial, PATH spec, .relocated flag","Implemented in 89b490b (merged via #10): the `windows-relocation` shared partial exposes `Relocate` and `Get-NormalizedPath`, `.relocated` is computed once in `.chezmoi.toml.tmpl` and documented in CONTEXT.md, the old `Ensure-Reparse`/`Set-RelocationJunction` copies are deleted, and a Pester suite (tests/windows-relocation.Tests.ps1) covers both modules. Closing as satisfied."
36131,10352447178,IssueCommentEvent,adityaharishch,Meridiona/meridian,2026-06-06T04:25:37Z,created,fix(doctor): detect bundle UI install in ui-built check,":tada: This PR is included in version 1.27.2 :tada:

The release is available on:
- [GitHub release](https://github.com/Meridiona/meridian/releases/tag/v1.27.2)
- `v1.27.2`
- [npm package (@latest dist-tag)](https://www.npmjs.com/package/@meridiona/meridian/v/1.27.2)

Your **[semantic-release](https://github.com/semantic-release/semantic-release)** bot :package::rocket:"
23105,10298299081,IssueCommentEvent,pmithrandir,OpenSeizureDetector/Garmin_SD,2026-06-04T20:56:53Z,created,Fix build under ConnectIQ SDK 9.1.0,"I checked and the Menu is working, it was a false alert.

Great job !!"
35638,10351822946,IssueCommentEvent,mochi1351,daulathussain/Multi-Blockchain-Crypto-Trading-Bot-with-Commission-Fee-System-Starter-File,2026-06-06T03:34:04Z,created,"Define TradeFi domain types, constants, and Zod validators",Closing because this issue was created in the upstream repository by mistake. The implementation tasks will be recreated in the project fork mochi1351/tradefi-crypto-trading-bot-saas.
46441,10368076460,IssueCommentEvent,jfturcot,Herd-OS/herd,2026-06-06T23:20:37Z,created,Drop CODEX_AUTH_JSON from docker-exec passthrough & config validation,"📋 **Worker Progress** _(final)_

# Issue #715 — Drop CODEX_AUTH_JSON from docker-exec passthrough & config validation

- [x] internal/cli/exec_docker.go — removed CODEX_AUTH_JSON entry + its two-line comment from passEnv
- [x] internal/cli/exec_docker_test.go — removed CODEX_AUTH_JSON from want slice, added NotContains assertion, removed the 1..16 numbered loop
- [x] internal/config/validate.go — deleted CodexSubscriptionEnvSet func; removed now-unused `os` import (strings still used)
- [x] go build ./... passes
- [x] go test ./... passes
- [x] go vet ./internal/cli/... ./internal/config/... passes
- [x] golangci-lint run passes
- [x] grep confirms no remaining CodexSubscriptionEnvSet references; no passEnv CODEX_AUTH_JSON
"
15409,10212197341,IssueCommentEvent,ChanyaVRC,ChanyaVRC/pyrust,2026-06-03T05:12:56Z,created,"match/case: invalid patterns not rejected — duplicate capture names (case [a,a]/{1:a,2:a}/P(a,a)), '_' as capture target, duplicate mapping keys","Two more invalid match patterns also accepted (same validation pass):

```python
match [1,2,3]:
    case [*a, *b]: pass    # CPython SyntaxError: multiple starred names in sequence pattern ; pyrust accepted
match {}:
    case {**_}: pass       # CPython SyntaxError (cannot capture into '_') ; pyrust accepted
```

So the match-pattern validation should also reject multiple starred sub-patterns in a sequence pattern and `**_` (double-star wildcard capture into `_`).
"
48327,10368697825,IssueCommentEvent,nevena-rcloud,SCALE-TEST-R-CLOUD/Repository-1-20260606132154,2026-06-07T00:22:02Z,created,Automated Issue #686,"Comment by **shashank-hk-hycu** Added at 2026-05-21T20:41:55Z 

 We may need additional logs for analysis."
5196,10130257644,IssueCommentEvent,ahg-g,llm-d/llm-d-router,2026-06-01T12:43:04Z,created,Standardize InferenceRequestBody type across api formats for api-agnostic plugin consumption,"We will continue to pass the payload; however does this mean the tokenizer will need to be aware of which exact api is being used? For example, in https://github.com/llm-d/llm-d-router/pull/1115, how would it change to support Messages API?"
13616,10206363471,IssueCommentEvent,hello-stephen,apache/doris,2026-06-03T01:06:02Z,created,[feature](inverted index) Introduce SPIMI V4 inverted index storage format,"# BE UT Coverage Report
Increment line coverage `82.43% (5134/6228)` :tada:

[Increment coverage report](http://coverage.selectdb-in.cc/coverage/41e7e0319c17eeec2be10e916d05b2eb913cb6fb_41e7e0319c17eeec2be10e916d05b2eb913cb6fb/increment_report/index.html)
[Complete coverage report](http://coverage.selectdb-in.cc/coverage/41e7e0319c17eeec2be10e916d05b2eb913cb6fb_41e7e0319c17eeec2be10e916d05b2eb913cb6fb/report/index.html)
| Category          | Coverage           |
|-------------------|--------------------|
| Function Coverage | 54.58% (21557/39496) |
| Line Coverage     | 38.21% (205907/538920) |
| Region Coverage   | 34.19% (161882/473462) |
| Branch Coverage   | 35.20% (70801/201156) |"
8227,10156990673,IssueCommentEvent,pewdiepie-archdaemon,pewdiepie-archdaemon/odysseus,2026-06-02T01:27:54Z,created,Add contributor docs and CI,"Good direction, but this should be reviewed as repo/process infrastructure, not a quick runtime patch. Architecture docs and templates are useful; CI can also be useful, but it must reflect what actually passes in a fresh checkout.

Before merge, please rebase and verify the GitHub Actions workflow on the PR itself. If pytest is not installed locally, the CI file should install test dependencies explicitly and avoid optional-dependency failures.

I would also consider splitting templates/docs from CI if the workflow needs iteration."
61348,10382725456,IssueCommentEvent,PurHur,PurHur/php-compiler,2026-06-07T19:21:09Z,created,Epic: Self-host critical path — compiler compiles itself (M3→M5),"**Worker lane C — no eligible issue this run**

Checked open queue per lane rules (`issue % 3 == 2`):

1. `gh issue list --state open --limit 1000` — **303** open issues in lane C
2. `gh pr list --state open --limit 50` — **0** open PRs (no duplicate-PR blockers)
3. Filtered eligible: `implementation-ready`, no `claim:` in last 48h from another agent, **not** stdlib/`ext/*` builtins (STD Lib automation), **not** `php-in-php` / `php-runtime` / `runtime-shrink` (Runtime→PHP automation)

**Result: 0 eligible issues in lane C.**

Every lane C ticket is owned by another automation:
- **Stdlib** (e.g. #7373 posix_mknod, #7358 Reflection docblock, #7331 openssl_cipher_iv_length, #7322 ResponseCode enum, #7295 ReflectionProperty hooks, …)
- **php-in-php** (#7073 VM stream/dir zvals, #7103 serialize float formatting, #6821 phpc_stream.c wrapper stack, #7001 gmgetdate/gmmktime, …)

Lowest lane C `implementation-ready` numbers skipped due to ownership: #6821, #7073, #7103, #7175, …

No in-flight branch/PR on master for this worker. Stopping without claiming from lanes A (`%3==0`) or B (`%3==1`)."
6508,10152135138,IssueCommentEvent,Lincyaw,LGU-SE-Internal/opentelemetry-demo,2026-06-01T22:09:40Z,created,Repository: Add standard .gitattributes file for consistent cross-OS file handling,"Added .gitattributes file to repository root that:
1. Enforces LF line endings for all text files by default
2. Marks all common binary file types (images, archives, fonts, executables etc.) as non-text to prevent line ending modification
3. Explicitly specifies LF line ending handling for all common file types used in the repository including shell scripts, Go files, YAML, Markdown, Dockerfiles, Protobuf files, and programming language source files
4. Sets appropriate CRLF line endings for Windows batch files (*.bat, *.cmd) for compatibility"
60500,10380311332,IssueCommentEvent,pablomarin,pablomarin/claude-codex-forge,2026-06-07T16:27:37Z,created,[Radar] Add Dynamic Workflow Token Budget Guidance to autonomous-goal.md,"## Reinforcement: Reinforces #892: Dynamic Workflow Cost — concrete cap numbers now confirmed

**Priority:** high

Confirms specific scale caps: 16 concurrent subagents max, 1,000-agent lifetime limit per workflow. Issue #892's Cost Reality Check callout should cite both numbers so teams can budget before launching /forge-goal sessions.

**Source:** [Claude Code Dynamic Workflows: 1,000 Subagents Outside Context — cost analysis](https://avinashsangle.com)"
33165,10349353934,IssueCommentEvent,tatsuya1970,tatsuya1970/hiroshimacity-tenshutsu,2026-06-06T00:54:08Z,created,利用条件・ライセンスについての確認,"お問い合わせありがとうございます。
LICENSE表記がなく、ご不便をおかけして申し訳ありませんでした。

先ほど、READMEにライセンスに関する記載を追記しました。

プログラム（コード）：MITライセンス
地図データ・統計データ：各提供元（国土地理院「地球地図日本」／広島市統計書）の利用規約に従ってご利用ください。

つまり、プログラム部分についてはMITライセンスに従っていただければ、ゼミ・研究・論文・オープンキャンパスでの展示、データの差し替えや改変など、ご自由にお使いいただけます。

どうぞよろしくお願いいたします。"
12456,10202090141,IssueCommentEvent,Lincyaw,LGU-SE-Internal/opentelemetry-demo,2026-06-02T22:16:36Z,created,CI: Add GitHub Actions workflow for markdown lint checks using markdownlint on PRs,"Added a GitHub Actions workflow for markdownlint that runs on all pull requests with Markdown file changes. The workflow uses the existing .markdownlint.yaml configuration in the repository, runs against all *.md files, and will fail the PR check if any lint errors are found."
47813,10368579144,IssueCommentEvent,10ego,10ego/HREup,2026-06-07T00:10:42Z,created,🛑 Regulatory Decision Summary Page is down,"**Resolved:** Regulatory Decision Summary Page is back up in [`af9252a`](https://github.com/10ego/HREup/commit/af9252a6aad855fe791eb9864e93055a008eced6
) after 32 minutes."
38822,10354320452,IssueCommentEvent,lllacer,lllacer/Ticketing,2026-06-06T06:54:40Z,created,[5678] FUJITRANS - ,Let me connect you to our Customer Service officer.
55813,10372971411,IssueCommentEvent,TypNull,TypNull/Tubifarry,2026-06-07T07:13:43Z,created,[BUG] Metadata errors causing failed download from youtube,"That is likely just how the YouTube downloader works. You need to install [FFmpeg](https://github.com/TypNull/Tubifarry#ffmpeg-and-audio-conversion), as downloaded video container files require the audio to be extracted."
13235,10204314364,IssueCommentEvent,johnpooch,johnpooch/diplicity-react,2026-06-02T23:32:20Z,created,PRD: Naming of Variants,"What is the current state? Can't a user create a ""Classical"" variant right now? Doesn't seem like there's a problem here. "
21978,10276276887,IssueCommentEvent,18202781743,linuxdeepin/dtkwidget,2026-06-04T11:07:10Z,created,fix: prevent IME from activating when echo mode is Normal,/forcemerge
62207,10384191263,IssueCommentEvent,Mooknop,Mooknop/CNMH,2026-06-07T21:04:57Z,created,Clock: Exploration hybrid distance tracking,Already implemented — `ExplorationTimeControl.jsx` reads `cnmh_exploredist_global` against the slowest PC speed from the roster and shows a 'Party moved N ft → ~M min' suggestion. Memory was stale when this was filed.
