,id,type,actor_login,repo_name,created_at,action,issue_title,issue_state,issue_comments
108850,10380647969,IssuesEvent,suhas-r-cloud,SCALE-TEST-R-CLOUD/Repository-1-20260607134353,2026-06-07T16:51:58Z,labeled,Automated Issue #641,open,0
54638,10347087501,IssuesEvent,Sunnshiine,Sunnshiine/workout-app,2026-06-05T22:51:15Z,unlabeled,Normalize UI fixtures and shared helpers after XCTest pruning,open,0
60423,10349568826,IssuesEvent,MScottAdams,deftai/directive,2026-06-06T01:05:57Z,labeled,"feat(agents,setup): configurable agent autonomy level — default to analysis/plan, mutate only when explicitly requested or autonomy permits",open,0
112018,10384119111,IssuesEvent,suhas-r-cloud,SCALE-TEST-R-CLOUD/Repository-1-20260607134353,2026-06-07T20:59:31Z,opened,Automated Issue #1555,open,0
80918,10365399414,IssuesEvent,avidrucker,avidrucker/lccjs,2026-06-06T19:42:49Z,labeled,bug(showcase): CM6 line numbers not visible on GitHub Pages,closed,0
69964,10353596328,IssuesEvent,squne121,squne121/loop-protocol,2026-06-06T05:57:12Z,labeled,実装: docs/dev/agent-runtime-ops.md に network-only auto allow の推奨設定を追記する,open,0
88112,10368506657,IssuesEvent,dev-sohyeon,cse-project2-lg/embedded,2026-06-07T00:04:16Z,closed,[Feature] 센서 데이터 MQTT Publish 구현,closed,0
53401,10346433008,IssuesEvent,aelassas,aelassas/servy,2026-06-05T22:23:13Z,assigned,[Tests] ConfigParserTests.cs — ParseInt tests named '...WithoutLogging' and '...AndLogsWarning' never verify any logging,open,0
33004,10253493440,IssuesEvent,cehfisher,cehfisher/a11y-scanner-demo,2026-06-03T23:06:56Z,labeled,[Accessibility scan] Elements must meet minimum color contrast ratio thresholds,open,0
109505,10381940379,IssuesEvent,SyncNowUser,Bank-Demo-Organization/BankCustomers,2026-06-07T18:21:18Z,opened,AIIngestPS_GitHub_c7db188d,closed,0
38256,10270150812,IssuesEvent,zombieJ,ant-design/ant-design-mobile,2026-06-04T08:39:41Z,closed,Swiper组件希望每个Swiper.Item可以根据内容高度自适应,closed,6
30113,10241876064,IssuesEvent,nyxsky404,piyushdotcomm/Editron,2026-06-03T18:27:16Z,opened,[Bug]: CodeLine component uses dangerouslySetInnerHTML without HTML entity escaping — breaks display for JSX/typed code,open,3
33264,10253756510,IssuesEvent,ElectBitcoin,ElectBitcoin/ElectBitcoin,2026-06-03T23:15:32Z,opened,Add New positive record for NY-Kirsten Gillibrand,open,0
34274,10254430055,IssuesEvent,MaxQian888,MaxQian888/cognia-next,2026-06-04T00:20:57Z,closed,M4.8 — Mobile-friendly settings tabs (Twin/MCP/Connectors/Backup) — verify all server features manageable from phone,closed,0
101239,10373025794,IssuesEvent,theekrystallee,hashgraph/hedera-docs,2026-06-07T07:18:03Z,closed,docs: add landing page for tabs in dev branch,closed,1
35913,10259674699,IssuesEvent,heni02,matrixorigin/matrixone,2026-06-04T03:06:55Z,unassigned,"[Bug]: CASE WHEN 在 DECIMAL(23,2) 与 DECIMAL(9,5) 混用时，ELSE 分支结果被放大 10⁵ 倍",open,1
53797,10346724645,IssuesEvent,Luis-tech-AI,so1unp/lab04-ws,2026-06-05T22:35:11Z,assigned,Logica entidades,open,0
114970,10385344790,IssuesEvent,abhinaykrupa,abhinaykrupa/vertical-procurement-toolkit,2026-06-07T22:38:39Z,opened,Cloud-hosted open-core free tier (PostHog-model monetization path),open,0
75981,10356631659,IssuesEvent,Jefferson49,Jefferson49/webtrees-API,2026-06-06T10:01:32Z,opened,"Expiration time of Swagger access token is limited to 1 hour. After 1 hour, API access is denied",open,0
24471,10208444195,IssuesEvent,wscurran,NVIDIA/NemoClaw,2026-06-03T02:24:57Z,labeled,"[WSL2][Sandbox] openshell-docker-gateway host daemon shuts down on idle, breaks subsequent install.sh upgrade backup step",closed,0
29687,10238873778,IssuesEvent,JAVA-LW,taichuy/1flowbase,2026-06-03T17:35:11Z,labeled,[验收中]调整 warning/advisory 与 required 门禁判定,open,0
107872,10377312403,IssuesEvent,servathadi,Mumega-com/mcpwp,2026-06-07T12:50:10Z,closed,GTM: replace site-level update override with durable Freemius release flow,closed,1
64151,10351569150,IssuesEvent,mihaamiharu,mihaamiharu/playwright-e2e,2026-06-06T03:12:14Z,closed,e2e-ISSUE-1780715513276-8400b1 [294b24c7],closed,0
82140,10366149238,IssuesEvent,sbranham314,strata-reports-ai/orchestrator-strata-reports,2026-06-06T20:45:29Z,unlabeled,Bug: POST /api/reports/generate returns HTTP 500 for reportType=monthly_owner after PR #30 — invalid types now rejected (good) but monthly_owner code path broken,open,0
24091,10208004325,IssuesEvent,NachoVazquez,naxodev/oss,2026-06-03T02:08:44Z,labeled,nx-cloudflare: add executor tests and richer template tests,open,0
109133,10381215185,IssuesEvent,adhie272,ghea-creator/SIMHPSK-kelompok-3,2026-06-07T17:34:15Z,unassigned,Integrasi API & Error Handling Global FE,open,0
12598,10156431365,IssuesEvent,ben-milanko,anthropics/claude-code,2026-06-02T01:04:20Z,opened,Remote-agent / routine GitHub PR subscriptions don't deliver pull_request_review or pull_request_review_comment events,open,1
34655,10254443620,IssuesEvent,ebanerjeeTT,tenstorrent/tt-auto-triage,2026-06-04T01:00:02Z,opened,[00002] Error response from daemon: failed to resolve reference '': unexpected status from HEAD request: 401 Unauthorized,open,0
